Date,Open,High,Low,Price,Vol
2024-05-25,0.5364,0.543,0.5322,0.542,433504929.3
2024-05-26,0.542,0.5424,0.5256,0.5285,379198272.9
2024-05-27,0.5285,0.5414,0.5239,0.5343,573868552.5
2024-05-28,0.5343,0.5359,0.5211,0.5291,657231075.2
2024-05-29,0.529,0.5339,0.5202,0.5239,611712019.6
2024-05-30,0.5239,0.5288,0.5125,0.519,597257324.2
2024-05-31,0.5189,0.5264,0.5119,0.5179,562637825.9
2024-06-01,0.5179,0.5224,0.5177,0.5189,238938681.6
2024-06-02,0.5189,0.5216,0.5082,0.5137,405847891.4
2024-06-03,0.5138,0.5235,0.5118,0.5203,516664812.1
2024-06-04,0.5202,0.5309,0.5185,0.526,606554598.7
2024-06-05,0.5259,0.5334,0.5236,0.5263,527294728.7
2024-06-06,0.5263,0.5285,0.5162,0.5218,466210559.2
2024-06-07,0.5218,0.5285,0.4475,0.4989,1399741457.6
2024-06-08,0.499,0.501,0.4896,0.4926,451202688.9
2024-06-09,0.4925,0.4992,0.4905,0.4985,251237493.8
2024-06-10,0.4986,0.5061,0.4931,0.497,580931409.3
2024-06-11,0.4969,0.4972,0.47,0.4803,1045998452.4
2024-06-12,0.4802,0.4988,0.4739,0.4915,835721968.8
2024-06-13,0.4916,0.4918,0.4754,0.4768,610616707.4
2024-06-14,0.4769,0.4814,0.4584,0.4745,723669566.3
2024-06-15,0.4744,0.5051,0.4738,0.4906,575117076.6
2024-06-16,0.4906,0.4994,0.4874,0.4889,505424319.1
2024-06-17,0.489,0.521,0.4838,0.5044,1691017199.7
2024-06-18,0.5044,0.5094,0.4641,0.4907,1715642512.3
2024-06-19,0.4907,0.4994,0.4867,0.493,687784459.4
2024-06-20,0.493,0.5024,0.488,0.4885,683596269.1
2024-06-21,0.4884,0.4957,0.4792,0.4888,725994528.5
2024-06-22,0.4888,0.4895,0.4838,0.4864,234617788.4
2024-06-23,0.4863,0.489,0.4724,0.4796,334171380.8
2024-06-24,0.4796,0.4824,0.4604,0.4738,867735565.9
2024-06-25,0.4738,0.4801,0.4728,0.4755,471137656.1
2024-06-26,0.4755,0.4781,0.4644,0.4696,497136697.0
2024-06-27,0.4696,0.4771,0.4656,0.4752,446207484.3
2024-06-28,0.4753,0.4809,0.4686,0.4715,609415974.0
2024-06-29,0.4716,0.4768,0.4713,0.4724,208321656.7
2024-06-30,0.4724,0.4781,0.4697,0.476,303341722.5
2024-07-01,0.476,0.4849,0.4752,0.4768,476459829.8
2024-07-02,0.4767,0.4889,0.4756,0.4853,515811172.8
2024-07-03,0.4852,0.4868,0.4606,0.4668,757166980.4
2024-07-04,0.4669,0.4694,0.431,0.4326,1209915466.4
2024-07-05,0.4327,0.4332,0.3812,0.4249,1918477158.9
2024-07-06,0.4248,0.4495,0.4233,0.4487,516845047.4
2024-07-07,0.4486,0.449,0.4179,0.4194,614778612.6
2024-07-08,0.4194,0.4435,0.4028,0.4314,1312608030.4
2024-07-09,0.4314,0.438,0.4265,0.4355,581885583.1
2024-07-10,0.4354,0.4424,0.4308,0.4385,543776192.6
2024-07-11,0.4385,0.4559,0.436,0.4488,811101902.6
2024-07-12,0.4488,0.4782,0.4441,0.4742,1422214924.4
2024-07-13,0.4742,0.5658,0.4734,0.5255,3471804862.5
2024-07-14,0.5255,0.5396,0.5135,0.5202,1671364856.7
2024-07-15,0.5203,0.5402,0.5201,0.5368,1343059689.2
2024-07-16,0.5369,0.5946,0.532,0.5791,2804148571.2
2024-07-17,0.579,0.6376,0.578,0.6257,2672955500.8
2024-07-18,0.6256,0.6366,0.5568,0.5693,2409994673.0
2024-07-19,0.5693,0.5863,0.539,0.5729,1962455044.4
2024-07-20,0.573,0.6045,0.5704,0.5936,1276250845.5
2024-07-21,0.5936,0.608,0.5714,0.5984,1340456692.4
2024-07-22,0.5983,0.6229,0.5852,0.6076,1407041918.2
2024-07-23,0.6076,0.6168,0.5796,0.5972,1255440947.4
2024-07-24,0.5972,0.6328,0.5911,0.6175,1386918011.4
2024-07-25,0.6175,0.6259,0.5837,0.5993,1980186966.8
2024-07-26,0.5993,0.6089,0.5856,0.6032,976308217.7
2024-07-27,0.6031,0.609,0.5826,0.5954,811226899.4
2024-07-28,0.5954,0.6146,0.5907,0.601,690520218.5
2024-07-29,0.601,0.6123,0.5916,0.6016,829808112.9
2024-07-30,0.6017,0.638,0.5951,0.6274,1901286387.5
2024-07-31,0.6274,0.6583,0.6213,0.623,2355668665.9
2024-08-01,0.6229,0.6301,0.5673,0.5962,1864037805.0
2024-08-02,0.5961,0.5967,0.5458,0.5605,1681744374.5
2024-08-03,0.5605,0.5775,0.54,0.5556,1283823628.4
2024-08-04,0.5556,0.5587,0.5128,0.5227,1230015813.7
2024-08-05,0.5227,0.5256,0.4315,0.4887,4172275016.3
2024-08-06,0.4887,0.5188,0.4875,0.5057,1270326248.9
2024-08-07,0.5057,0.6441,0.492,0.6001,3613799087.0
2024-08-08,0.6001,0.6422,0.5783,0.6164,3468272518.8
2024-08-09,0.6163,0.6241,0.5673,0.5801,1872127739.5
2024-08-10,0.5801,0.6018,0.5776,0.5837,1028005343.1
2024-08-11,0.5838,0.5931,0.545,0.5525,1070628727.2
2024-08-12,0.5525,0.5792,0.5498,0.568,1269061967.0
2024-08-13,0.568,0.5833,0.5622,0.5765,979556047.8
2024-08-14,0.5765,0.5829,0.5633,0.5684,768911351.8
2024-08-15,0.5684,0.5738,0.5505,0.5605,774836876.3
2024-08-16,0.5605,0.5714,0.553,0.5634,654811569.3
2024-08-17,0.5634,0.571,0.5607,0.5661,230127989.3
2024-08-18,0.5661,0.5844,0.5622,0.5628,455939774.0
2024-08-19,0.5629,0.6089,0.5605,0.598,1213402104.2
2024-08-20,0.5981,0.6148,0.5871,0.5933,876286226.0
2024-08-21,0.5934,0.6052,0.5845,0.5997,710433902.7
2024-08-22,0.5997,0.6058,0.5917,0.5974,479889610.4
2024-08-23,0.5974,0.6157,0.5903,0.6105,751188804.5
2024-08-24,0.6105,0.6311,0.604,0.6121,791532946.7
2024-08-25,0.6121,0.6137,0.5946,0.5996,560402923.7
2024-08-26,0.5996,0.6017,0.5768,0.5871,659950864.6
2024-08-27,0.5871,0.6,0.5517,0.5662,968926739.3
2024-08-28,0.5662,0.5843,0.5554,0.569,941325545.8
2024-08-29,0.569,0.5765,0.5568,0.5615,458137245.0
2024-08-30,0.5616,0.5675,0.5458,0.5665,602240431.3
2024-08-31,0.5666,0.5719,0.5621,0.5661,236465394.0
2024-09-01,0.5661,0.5664,0.5424,0.5467,486139951.9
2024-09-02,0.5468,0.5685,0.5439,0.5674,440230430.3
2024-09-03,0.5675,0.5723,0.5551,0.5569,448758290.5
2024-09-04,0.557,0.5645,0.5321,0.5576,647486307.6
2024-09-05,0.5577,0.5595,0.5392,0.5441,419648373.6
2024-09-06,0.544,0.5471,0.5021,0.5206,852389315.1
2024-09-07,0.5207,0.5325,0.5194,0.5246,289501134.0
2024-09-08,0.5245,0.5313,0.5204,0.5292,260391872.3
2024-09-09,0.5292,0.5427,0.5266,0.5392,437188674.6
2024-09-10,0.5393,0.5425,0.5333,0.5405,339110165.4
2024-09-11,0.5405,0.541,0.5227,0.5346,527463587.2
2024-09-12,0.5345,0.5882,0.5331,0.5624,1471310829.8
2024-09-13,0.5624,0.5748,0.555,0.5722,898592133.7
2024-09-14,0.5722,0.5999,0.5701,0.5953,977842114.0
2024-09-15,0.5953,0.5955,0.5675,0.5703,617484007.6
2024-09-16,0.5703,0.5914,0.5593,0.5861,784389876.2
2024-09-17,0.5861,0.593,0.5785,0.5836,594261797.6
2024-09-18,0.5835,0.5854,0.5616,0.5851,735696509.2
2024-09-19,0.585,0.5944,0.5809,0.5867,778633057.8
2024-09-20,0.5867,0.5928,0.5759,0.5847,728480236.8
2024-09-21,0.5847,0.6128,0.5797,0.5973,616997970.3
2024-09-22,0.5974,0.605,0.577,0.5869,674077012.1
2024-09-23,0.5869,0.5956,0.5782,0.5845,538524486.7
2024-09-24,0.5844,0.5927,0.5809,0.5909,538716049.6
2024-09-25,0.5908,0.5956,0.582,0.5827,463865676.3
2024-09-26,0.5827,0.5963,0.5735,0.5903,652161045.8
2024-09-27,0.5902,0.5971,0.5821,0.5885,721188608.0
2024-09-28,0.5885,0.626,0.585,0.6136,1816073572.2
2024-09-29,0.6137,0.6661,0.6075,0.6412,2027817411.1
2024-09-30,0.6412,0.655,0.6083,0.6113,1688776792.1
2024-10-01,0.6113,0.6342,0.5768,0.5966,2403805541.0
2024-10-02,0.5965,0.6065,0.5267,0.5379,1951412911.9
2024-10-03,0.5379,0.5441,0.5066,0.5214,1811651951.7
2024-10-04,0.5214,0.5386,0.5146,0.5338,867664761.1
2024-10-05,0.5338,0.5351,0.5256,0.5291,447462230.0
2024-10-06,0.5291,0.537,0.5276,0.5334,361536883.1
2024-10-07,0.5334,0.5458,0.528,0.5282,760080491.5
2024-10-08,0.5282,0.5361,0.5206,0.5308,542496316.4
2024-10-09,0.5307,0.5345,0.5206,0.5241,449745182.7
2024-10-10,0.5241,0.5448,0.5224,0.5303,781249010.4
2024-10-11,0.5303,0.5417,0.5294,0.5386,499131221.7
2024-10-12,0.5386,0.5431,0.535,0.539,297480321.4
2024-10-13,0.5391,0.5393,0.5246,0.5316,367905477.9
2024-10-14,0.5317,0.5524,0.5279,0.5484,609403782.9
2024-10-15,0.5484,0.5555,0.5311,0.5415,915331030.1
2024-10-16,0.5415,0.5539,0.537,0.5481,580866233.4
2024-10-17,0.548,0.5665,0.5414,0.5439,968772557.5
2024-10-18,0.5439,0.553,0.5392,0.5465,537722110.7
2024-10-19,0.5465,0.5499,0.5402,0.5438,277827546.1
2024-10-20,0.5438,0.5488,0.5361,0.5483,377387418.8
2024-10-21,0.5484,0.561,0.5411,0.5448,807527778.7
2024-10-22,0.5448,0.5496,0.5286,0.5336,641595400.7
2024-10-23,0.5336,0.534,0.5113,0.5257,563998854.5
2024-10-24,0.5256,0.5337,0.524,0.5322,375237570.7
2024-10-25,0.5322,0.5322,0.4858,0.5017,838494229.9
2024-10-26,0.5017,0.5153,0.4985,0.5133,365548161.9
2024-10-27,0.5132,0.5178,0.5107,0.5167,214244313.9
2024-10-28,0.5166,0.5216,0.5109,0.5192,390719182.0
2024-10-29,0.5192,0.531,0.5183,0.5286,510055092.8
2024-10-30,0.5287,0.5287,0.5193,0.5231,385136683.3
2024-10-31,0.5231,0.524,0.5027,0.5095,528766327.9
